#index	date	close	open	high	low	volume	dVolume	percent_change	dollar_change	spread	var	entropy	slope	concavity	answer
40	2010-10-19	8.27721	56.82	58.45002	56.4	9121700	-0.26624301170413867	-0.8543257655755016	-48.54279	0.06298334444748104	0.02885041904	1.49436508345	1.1144100000000048	4.98397833333335	1
41	2010-10-20	8.59737	56.22	61.0002	56.20002	19355200	1.1218851749125711	-0.8470763073639275	-47.62263	0.1481140009229007	0.035248203069	1.46696193024	0.1348099999999981	-2.549862500000008	0
42	2010-10-21	8.46873	59.50002	60.48	58.66998	11877700	-0.3863302885012813	-0.8576684512038819	-51.03129	0.053260358620689494	0.03637487204	1.43028030191	-0.5207399999999964	-0.8286999999999954	1
43	2010-10-22	8.51876	59.31	60.72	58.69998	11924400	0.003931737625971358	-0.8563689091215647	-50.79124	0.059562344940405874	0.034102290204	1.3827933078	0.3485216666666666	1.8424958333333332	1
44	2010-10-25	8.71315	59.58	61.3998	59.01	16303900	0.3672721478648821	-0.8537571332661967	-50.86685	0.06998652134218443	0.045271812716	1.32175583998	0.2551333333333326	-0.4965816666666652	1
45	2010-10-26	8.99041	61.02	63.9498	60.06	19862500	0.21826679506130436	-0.8526645362176335	-52.02959	0.11112061763386333	0.077877647404	1.2845652481	0.2981983333333342	-0.0035350000000112423	0
46	2010-10-27	8.6231	62.6898	62.6898	60.0	15664300	-0.21136312146003777	-0.8624481175566041	-54.0667	0.07543656196845167	0.079942526485	1.23276969094	-0.9320749999999975	-1.9824641666666665	0
47	2010-10-28	8.50733	60.0	61.1598	59.35002	8818500	-0.43703197717101944	-0.8582111666666667	-51.492670000000004	0.05283463827885269	0.06022058386	1.50498328443	0.30870333333333316	2.6359041666666756	1
48	2010-10-29	8.56879	60.0	61.1598	59.35002	7169600	-0.18698191302375688	-0.8571868333333333	-51.43121	0.05278728121059147	0.05974705236	1.47364929514	0.1253050000000009	-0.7866316666666554	1
49	2010-11-01	8.95756	60.0	64.3902	60.0	17558300	1.448992970319125	-0.8507073333333334	-51.04244	0.12733049139209662	0.042625287789	1.47364929514	0.6024516666666647	0.6830808333333197	0
50	2010-11-02	8.93466	62.7	64.8498	61.3002	18878500	0.07518951151307358	-0.8575014354066985	-53.76534	0.09910286445137048	0.036158806824	1.38697470769	-0.4750616666666699	-1.9656216666666826	0
51	2010-11-03	8.56164	62.5002	62.5002	59.7	11448100	-0.39359059247291894	-0.8630141983545652	-53.938559999999995	0.0788102306385536	0.036921245721	1.38697470769	-0.5275633333333261	0.4452491666666856	1
52	2010-11-04	8.5745	59.91	60.7998	58.60002	9685700	-0.15394694316087384	-0.8568769821398765	-51.335499999999996	0.06424168972541223	0.0333655439	1.35462193606	0.45113333333333117	1.7401258333333232	0
53	2010-11-05	8.54163	60.4002	60.9798	59.71002	10685500	0.10322434103885109	-0.8585827530372416	-51.85857	0.03683627197015215	0.032606541201	1.47521293187	-0.1996050000000024	-1.5476491666666636	1
54	2010-11-08	8.60166	59.65998	60.6	58.69998	10398300	-0.026877544335782134	-0.8558219429507016	-51.058319999999995	0.05566874748394574	0.033371306856	1.37377408764	0.15269000000000332	0.7542499999999954	1
55	2010-11-09	8.71032	60.06	61.0698	59.31	12418100	0.19424328976851984	-0.854973026973027	-51.349680000000006	0.05117905515053583	0.023386574509	1.37377408764	0.11821833333333132	-0.16329833333333946	0
56	2010-11-10	8.67027	60.75	60.75	59.80002	17456400	0.40572229246019925	-0.8572795061728394	-52.07973	0.027368951460430693	0.023256456064	1.37377408764	-0.18018499999999507	-0.48636416666665144	0
57	2010-11-11	8.5745	60.6498	61.8	59.89998	21227600	0.21603537957425356	-0.8586227819382751	-52.0753	0.054894596261717284	0.021573451261	1.31991010949	-0.09263333333333594	0.3034058333333209	0
58	2010-11-12	7.84698	59.50998	59.59998	54.85998	22887400	0.07819065744596657	-0.8681401001983197	-51.663	0.1407426938507914	0.083010670316	1.3024685047	-1.235404999999999	-1.8210483333333383	1
59	2010-11-15	7.97133	54.79998	55.90002	54.51	10715400	-0.5318210019486704	-0.8545377206342045	-46.828649999999996	0.044288385888393914	0.099503493229	1.40715705949	1.0448249999999988	4.22350250000001	0
60	2010-11-16	7.75121	55.09998	56.80002	53.50998	11616600	0.0841032532616608	-0.8593246313338044	-47.34877	0.10469300581261881	0.122377569864	1.34918728029	-0.791134999999997	-3.9974399999999926	0
61	2010-11-17	7.41818	53.89998	53.98998	51.85998	9514000	-0.18099960401494414	-0.8623713775032941	-46.4818	0.06947370893060074	0.198605415996	1.16768561467	-0.31229833333333507	1.4275583333333326	1
62	2010-11-18	7.51109	52.2	52.84998	51.9	5442500	-0.4279482867353374	-0.8561093869731801	-44.68891	0.03181921482257328	0.234781029081	1.25021129573	0.48549666666666563	1.2464725000000065	1
63	2010-11-19	7.70404	52.99002	53.92002	52.08	10007900	0.8388424437299036	-0.8546133781417709	-45.28598	0.0606326220391255	0.233943857876	1.31333345534	0.1343366666666649	-1.0185474999999993	1
64	2010-11-22	7.77265	53.38998	55.27002	53.02002	9460000	-0.05474675006744672	-0.8544174393772015	-45.61733	0.07357433779417269	0.208634597081	1.35462193606	-0.06835333333333231	-0.25566000000000005	0
65	2010-11-23	7.49393	54.36	54.36	52.00002	7649600	-0.19137420718816067	-0.8621425680647535	-46.86607	0.07630816667590888	0.167304705856	1.40210893018	-0.526715000000002	-0.5690458333333256	1
66	2010-11-24	7.71834	52.29	54.0	52.00002	7803500	0.020118699016942063	-0.8523935742971888	-44.57166	0.0666567347138748	0.096769834225	1.43879055851	0.7594616666666688	2.337585833333337	1
67	2010-11-25	7.76551	54.21	54.97998	53.02002	8640300	0.10723393349138208	-0.8567513373916252	-46.44449	0.06324949968140627	0.026512369584	1.39488812877	-0.26824000000000375	-2.2608708333333425	0
68	2010-11-26	7.66832	54.48	54.48	53.44002	5555400	-0.3570362140203465	-0.859245227606461	-46.811679999999996	0.03346767861142505	0.02396621446	1.42229128198	-0.15840999999999905	0.5423325000000064	1
69	2010-11-29	7.80553	53.77002	54.79002	53.65998	9293200	0.6728228390394931	-0.8548349061428655	-45.964490000000005	0.03670417885020925	0.01669555286	1.42229128198	0.38066333333333713	0.9302166666666724	0
70	2010-11-30	7.56254	54.40002	54.73002	52.02	8608800	-0.07364524598631257	-0.8609827716975105	-46.83748	0.08747282229785214	0.016490713841	1.32659747438	-0.637956666666668	-1.9053800000000092	0
