#index	date	close	open	high	low	volume	dVolume	percent_change	dollar_change	spread	var	entropy	slope	concavity	answer
40	2010-08-13	17.74	17.440001	18.09	17.440001	311500	-0.40268456375838924	0.017201776536595364	0.2999989999999997	0.03695275619804565	0.1519688658	1.51374410483	-0.13000000000000256	-3.9791666666666763	0
41	2010-08-16	17.370001	17.74	17.74	17.200001	204900	-0.342215088282504	-0.02085676437429538	-0.36999899999999997	0.030760409263445945	0.169448778	1.47692347866	-0.9199981666666671	-0.7224970833333112	1
42	2010-08-17	17.5	17.450001	17.75	17.360001	285800	0.3948267447535383	0.002865272042104736	0.04999899999999968	0.022317538703360812	0.170120778	1.50241750238	0.7799970000000028	3.3499913333333424	0
43	2010-08-18	17.139999	17.34	17.389999	17.059999	287600	0.006298110566829951	-0.011534083044982718	-0.20000100000000032	0.01914153187765454	0.132369042	1.55153153223	-0.935000333333336	-3.4874934166666756	0
44	2010-08-19	17.02	17.059999	17.17	16.950001	247800	-0.1383866481223922	-0.002344607405897367	-0.03999900000000167	0.012910739815456061	0.123600172	1.56890973802	0.24333600000000524	2.5466706666666803	0
45	2010-08-20	17.0	16.950001	17.190001	16.9	284100	0.14648910411622276	0.0029497933362953596	0.04999899999999968	0.017084005387805447	0.0946290460002	1.5434157143	-0.016668166666671407	-0.8375085833333387	1
46	2010-08-23	17.299999	16.959999	17.370001	16.959999	176800	-0.37768391411474833	0.020047170993347338	0.33999999999999986	0.0239347357813622	0.0689440488003	1.52569907275	0.5333318333333317	0.8700017500000001	0
47	2010-08-24	17.25	17.01	17.33	16.99	275600	0.5588235294117647	0.014109347442680683	0.23999999999999844	0.01984821949795679	0.0541090402003	1.55153153223	-0.448330333333337	-1.8358255833333412	0
48	2010-08-25	16.77	17.120001	17.15	16.049999	631800	1.2924528301886793	-0.020443982450701895	-0.3500009999999989	0.06491596149554549	0.0703000360003	1.541171731	-0.721668166666665	0.03082383333330796	0
49	2010-08-26	16.440001	16.77	17.0	16.200001	281300	-0.554764165875277	-0.01967793679189033	-0.3299990000000008	0.04817819788683534	0.123940874	1.55570911798	-0.06166450000000623	1.3350075833333506	1
