#index	date	close	open	high	low	volume	dVolume	percent_change	dollar_change	spread	var	entropy	slope	concavity	answer
61	2006-11-20	16.845568	69.349998	70.0	68.25	15781200	-0.372471555299	-1.59219824674	-52.50443	0.549526624785	-0.405663623947	-0.518652260585	-0.242093427258	-0.214116380968	0.0
62	2006-11-21	16.505722	69.389999	69.389999	67.300003	12465600	-0.586877117529	-1.61182613143	-52.884277000000004	0.992203585821	-0.408967481182	0.0192350087506	-0.175322041993	0.0912313466506	0.0
63	2006-11-22	16.271009	67.529999	67.599998	65.870003	15165600	0.296451873647	-1.59984125224	-51.258990000000004	0.587037733462	-0.408148171512	1.07063163107	-0.0447807911107	0.0669506164545	0.0
64	2006-11-24	16.173212	66.050003	66.800003	65.889999	4490400	-1.60914878892	-1.58457481165	-49.876791000000004	-0.465139131335	-0.405248374442	0.406546620054	-0.0195213964685	-0.0117113667843	0.0
65	2006-11-27	15.940942	66.010002	66.150002	64.800003	14337200	4.38764346174	-1.59770640585	-50.06906	0.128790944923	-0.397308304511	-0.518652260585	-0.180445519852	-0.0872299310086	1.0
66	2006-11-28	16.168321	65.199997	66.279999	64.910004	14147600	-0.179315197472	-1.57242929443	-49.031676	0.168750624453	-0.395126134093	-0.17609558946	0.272649418724	0.235361915831	1.0
67	2006-11-29	16.319907	65.959999	66.779999	65.620003	12729200	-0.359488100355	-1.57460776177	-49.640091999999996	-0.132158992715	-0.394773681351	0.0192350087506	-0.0394823257546	-0.209961056855	0.0
68	2006-11-30	16.126758	66.870003	66.870003	65.720001	9493200	-0.678214119717	-1.59898056802	-50.743245	-0.158767449141	-0.393313056257	0.466990313643	-0.208706939885	-0.0471584975786	0.0
69	2006-12-01	15.945833	66.279999	66.5	64.110001	19147200	1.95329575926	-1.60125177951	-50.334166	1.51238064181	-0.391706169384	0.712493315774	-0.0355962594828	0.120108678171	1.0
70	2006-12-04	16.532617	65.650002	68.07	65.43	19098000	-0.157258017325	-1.55743167974	-49.117385	1.84828499036	-0.401239477177	0.712493315774	0.518537630396	0.240632823149	1.0
71	2006-12-05	16.552175	67.599998	68.0	67.0	17634000	-0.310632019186	-1.58460787568	-51.047823	-0.375512839079	-0.407303392776	0.652049622185	-0.318758108538	-0.48676734197	1.0
