#index	date	close	open	high	low	volume	dVolume	percent_change	dollar_change	spread	var	entropy	slope	concavity	answer
40	2008-08-07	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	0.0021	0.392674467228	-0.033333333333333215	-0.375	0
41	2008-08-08	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	0.0024	0.325082973391	1.4802973661668753e-16	0.09166666666666619	0
42	2008-08-11	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	0.0025	0.244930026795	1.4802973661668753e-16	-5.921189464667501e-16	0
43	2008-08-12	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	0.0024	0.146144746009	1.4802973661668753e-16	-5.921189464667501e-16	0
44	2008-08-13	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	0.0021	1.22344808337	1.4802973661668753e-16	-5.921189464667501e-16	0
45	2008-08-14	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	0.0016	1.19795405965	1.4802973661668753e-16	-5.921189464667501e-16	0
46	2008-08-15	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	0.0009	1.15695584772	1.4802973661668753e-16	-5.921189464667501e-16	0
47	2008-08-18	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	1.97215226305e-31	1.09480466863	1.4802973661668753e-16	-5.921189464667501e-16	0
48	2008-08-19	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	1.97215226305e-31	0.983104766269	1.4802973661668753e-16	-5.921189464667501e-16	0
49	2008-08-20	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	1.97215226305e-31	0.943348392329	1.4802973661668753e-16	-5.921189464667501e-16	0
50	2008-08-21	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	1.97215226305e-31	0.889484414174	1.4802973661668753e-16	-5.921189464667501e-16	0
51	2008-08-22	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	1.97215226305e-31	0.815612193957	1.4802973661668753e-16	-5.921189464667501e-16	0
52	2008-08-25	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	1.97215226305e-31	0.69314718056	1.4802973661668753e-16	-5.921189464667501e-16	0
53	2008-08-26	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	1.97215226305e-31	0.690923309314	1.4802973661668753e-16	-5.921189464667501e-16	0
54	2008-08-27	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	1.97215226305e-31	0.68423176513	1.4802973661668753e-16	-5.921189464667501e-16	0
55	2008-08-28	2.9	2.9	2.9	2.9	0	0.0	0.0	0.0	0.0	1.97215226305e-31	0.673011667009	1.4802973661668753e-16	-5.921189464667501e-16	0
